review_id,user_id,destination_id,rating,review_text,review_timestamp
1,278,4,3,A must-see attraction.,2024-08-31 05:16:09
2,337,9,4,Would visit again.,2024-11-30 00:14:55
3,27,7,1,A must-see attraction.,2024-07-30 18:00:24
4,151,5,5,A must-see attraction.,2025-01-07 19:18:46
5,655,4,5,Crowded but impressive.,2024-08-24 12:58:15
6,807,11,1,A must-see attraction.,2020-10-25 19:48:47
7,363,14,2,Exceeded my expectations.,2024-04-02 17:38:30
8,86,2,4,Could be better organized.,2024-05-19 21:14:42
9,672,4,4,Amazing experience!,2020-03-31 19:19:05
10,251,1,4,Could be better organized.,2021-10-08 21:57:10
11,486,3,4,Amazing experience!,2024-01-04 23:51:04
12,708,3,1,Amazing experience!,2022-04-30 21:12:12
13,550,10,4,Could be better organized.,2024-02-06 10:33:10
14,982,9,1,Crowded but impressive.,2021-03-10 18:31:50
15,396,12,3,Crowded but impressive.,2021-10-08 06:05:00
16,121,3,1,Not worth the price.,2023-05-22 06:19:19
17,803,4,5,Could be better organized.,2022-07-14 09:19:16
18,802,13,4,A must-see attraction.,2021-07-25 11:49:27
19,332,11,3,Could be better organized.,2021-03-23 20:35:26
20,767,10,2,A must-see attraction.,2022-07-10 07:27:25
21,353,13,4,Would visit again.,2021-08-17 05:00:01
22,613,2,4,Would visit again.,2024-12-22 18:40:38
23,882,13,5,Exceeded my expectations.,2022-07-22 20:30:43
24,12,4,4,Could be better organized.,2024-11-14 04:26:00
25,269,9,1,Exceeded my expectations.,2020-12-07 06:03:45
26,186,11,4,Exceeded my expectations.,2023-04-05 18:30:41
27,736,5,5,A must-see attraction.,2020-10-01 17:54:24
28,636,7,4,Exceeded my expectations.,2020-03-20 10:59:47
29,422,11,5,Would visit again.,2021-11-09 16:52:25
30,337,4,5,Amazing experience!,2020-04-12 02:19:47
31,108,7,1,Would visit again.,2022-12-23 02:45:32
32,805,13,5,Amazing experience!,2020-12-18 21:46:40
33,411,13,2,Crowded but impressive.,2022-04-25 09:53:30
34,749,10,1,Could be better organized.,2020-09-09 14:27:08
35,200,4,2,Not worth the price.,2022-04-24 18:05:54
36,221,8,4,Could be better organized.,2024-02-06 14:50:59
37,673,13,2,Exceeded my expectations.,2022-04-30 03:28:41
38,547,13,1,Not worth the price.,2020-05-21 15:28:19
39,846,10,5,Could be better organized.,2022-04-04 06:21:56
40,91,12,1,Amazing experience!,2023-09-10 21:20:34
41,506,10,2,Amazing experience!,2020-08-17 15:23:05
42,258,9,1,Amazing experience!,2023-05-29 04:12:57
43,11,5,5,Exceeded my expectations.,2025-01-08 01:04:00
44,679,11,1,Could be better organized.,2020-03-18 09:49:05
45,49,14,3,Exceeded my expectations.,2021-05-16 22:00:39
46,916,1,2,Crowded but impressive.,2024-10-11 12:25:41
47,851,7,4,Amazing experience!,2023-06-09 19:12:44
48,938,9,1,Exceeded my expectations.,2020-08-12 19:05:03
49,898,10,5,Amazing experience!,2022-02-04 16:28:48
50,299,3,1,Could be better organized.,2021-09-15 03:44:46
51,265,9,3,Not worth the price.,2024-09-15 17:14:08
52,268,3,1,Would visit again.,2022-09-18 21:06:58
53,203,2,4,Amazing experience!,2024-01-25 06:23:28
54,580,11,1,A must-see attraction.,2025-01-12 06:43:52
55,103,4,5,A must-see attraction.,2020-07-01 13:30:51
56,82,6,4,Amazing experience!,2020-09-25 11:13:35
57,810,8,1,Would visit again.,2021-02-24 03:35:52
58,802,12,1,Crowded but impressive.,2022-08-19 09:18:00
59,949,14,1,Would visit again.,2022-07-31 19:15:10
60,928,8,1,Would visit again.,2024-06-05 22:16:18
61,569,13,1,Not worth the price.,2020-10-12 21:11:00
62,123,3,5,A must-see attraction.,2022-07-18 04:34:13
63,325,3,4,Exceeded my expectations.,2020-08-21 06:35:17
64,792,10,2,A must-see attraction.,2024-01-20 05:42:24
65,870,9,3,A must-see attraction.,2023-03-28 08:56:17
66,302,14,4,Would visit again.,2020-08-10 21:53:18
67,245,9,1,Amazing experience!,2024-03-31 07:46:34
68,309,10,1,Exceeded my expectations.,2023-03-23 08:37:19
69,126,13,5,Not worth the price.,2021-06-10 01:21:35
70,256,11,2,Amazing experience!,2022-12-18 06:56:25
71,291,1,1,Exceeded my expectations.,2022-01-07 18:56:30
72,85,6,2,Not worth the price.,2020-06-08 16:35:58
73,421,10,4,Exceeded my expectations.,2021-07-30 11:19:12
74,398,2,4,Crowded but impressive.,2022-02-25 21:14:48
75,834,6,3,Would visit again.,2022-10-01 01:40:22
76,180,13,4,Exceeded my expectations.,2022-08-27 00:02:45
77,915,2,1,Would visit again.,2023-02-02 16:25:44
78,290,8,1,Exceeded my expectations.,2023-12-20 12:05:35
79,598,9,5,Exceeded my expectations.,2022-05-07 05:52:48
